scenario,objective,compressor_energy_mwh,external_supply_kg,wind_curtailment_mwh,unserved_demand_kg,pipeline_binding_hours
Case1 Static,5662306.16389672,56.8616132841547,707219.654354248,464.982717712394,0,0
Case2 Partial Dynamic,5662304.54009506,56.8413157634022,707219.654354248,464.982717712394,0,0
Case3 Full Dynamic,5662303.65210287,56.8302158610314,707219.654354248,464.982717712394,0,0
